Year,Round,Paper,Score,Rank,Category,Offers
2025,Round 1,CS,718,1061,EWS,"IIT Dharwad CSE, IIT Jammu CSE, IIT Palakkad DS, IIT Kharagpur QRE"
2025,Round 1,CS,714,1086,OBC,Iit patna cse ta
2025,Round 1,CS,702,1252,GEN,IIT Patna MnC TA
2025,Round 1,CS,652,2026,SC,IIT Madras Clincal Engineering (HTTA)
2025,Round 1,CS,639,2284,EWS,IIT Guwahati : GATE CSE 2026
2025,Round 1,CS,635,2353,OBC,IIT Patna MnC
2025,Round 1,CS,632,2434,OBC,IIT Patna MnC
2025,Round 1,CS,617,2140,OBC,IIT KGP Cyber Physical Systems
2025,Round 1,CS,579,3808,GEN,IITD M.Tech HVA Telecommunication Technology Management (JTM)
2025,Round 1,CS,579,3808,SC,IISc CDS
2025,Round 1,CS,562,4330,ST,"IIT Kharagpur AI , IIT Bombay IEOR , IIT Delhi Cteh , IIT Roorkee AI"
2025,Round 1,CS,493,7400,EWS,IIT Hyderabad MTech Climate Change
2025,Round 1,CS,452,9966,SC,IITH smart mobility
2025,Round 1,DA,905,23,GEN,"IISc Bangalore AI TA, IIT Hyderabad AI TA, IIT Kharagpur AI TA"
2025,Round 1,DA,815,76,GEN,IISc MTech AI
2025,Round 1,DA,815,76,GEN,MTech AI IISc
2025,Round 1,DA,796,96,OBC,"iitkgp AI, IIT guwahati robotics and AI"
2025,Round 1,DA,768,138,SC,"IIT M DSAI HTTA, IISC SP , IITK CS, IITR AI, IIT KGP AI, IIT G DS, IIT GN AI"
2025,Round 1,DA,761,144,GEN,IIT Kanpur AI in sustainability
2025,Round 1,DA,721,210,EWS,"IISC SP, IITK SPCOM"
2025,Round 1,DA,706,251,EWS,IIT Tirupathi DSAI
2025,Round 1,DA,675,340,OBC,IIT BHILAI DSAI
2025,Round 1,DA,628,550,EWS,IIT PKD DS
2025,Round 1,DA,624,686,OBC,IIT Kanpur Doms
2025,Round 1,DA,608,663,OBC,"IIT PKD,Data science"
2025,Round 1,DA,608,663,SC,"IIT MADRAS Industrial Mathematics and scientific computing , IIT KGP Climate science"
2025,Round 1,DA,573,986,SC,"IIT Bombay IEOR TA, IIT Patna AI TA"
2025,Round 1,DA,556,998,GEN,No offer
2025,Round 2,CS,914,49,GEN,"IISc CSE , IIT Bombay , IIT Madras , IIT Delhi"
2025,Round 2,CS,901,70,GEN,"IIT Kanpur CSE TA(retained from R1), IIT BOMBAY MTECH CSE TA"
2025,Round 2,CS,893,83,GEN,"IIT BOMBAY CSE TA, IIT KANPUR CSE TA, IIT HYD AI TA"
2025,Round 2,CS,885,91,GEN,IIT Kanpur MTECH TA CSE
2025,Round 2,CS,881,95,GEN,"IIT Kanpur cse, IIT Hyderabad cse"
2025,Round 2,CS,868,119,GEN,"IIT kanpur cse , IIT Hyderabad cse, IIT Kgp (retained from round1)"
2025,Round 2,CS,856,151,GEN,"IIT Guwahati CSE TA (Retain and Wait from R1), IIT Hyderabad AI TA, IIT Hyderabad CSE TA"
2025,Round 2,CS,847,173,GEN,"IIT Kharagpur mtech AI , IIT Guwahati mtech CSE , IIT Guwahati mtech DS"
2025,Round 2,CS,843,189,GEN,IIT KGP
2025,Round 2,CS,843,189,GEN,IIT Kgp CS
2025,Round 2,CS,837,204,GEN,IITKGP CSE
2025,Round 2,CS,833,215,GEN,"IIT D Ctech, IIT D cyber security, IIT kgp CSE, IIT G cse, IIT R DS, Nil"
2025,Round 2,CS,831,221,GEN,"IIT Guwahati CSE TA, IIT Guwahati Robotics and AI , IISc Robotics (retained from R1), IIT Kharagpur AI TA"
2025,Round 2,CS,826,249,GEN,IIT BHU AI TA
2025,Round 2,CS,826,249,SC,IITR applied mathematics and scientific computing (from round 1)
2025,Round 2,CS,826,249,GEN,IIT BHU CS TA
2025,Round 2,CS,826,249,GEN,IIT BHU AI TA
2025,Round 2,CS,810,308,EWS,"IIT Kanpur CSE TA, IIT Kharagpur CSE TA, IIT Guwahati CSE TA, IIT Hyderabad CSE TA"
2025,Round 2,CS,810,308,OBC,"IIT KANPUR CSE TA, IIT Hyderabad Cse, IIT ROORKEE CSE, IIT Guwahati Data science"
2025,Round 2,CS,807,317,OBC,"IITK CSE TA, IITKGP CSE TA (retained from r1), IITH CSE TA"
2025,Round 2,CS,807,317,OBC,"IIT Kanpur, IIT Hyderabad, IIT Roorkee, IIT Kharagpur (retained from R1)"
2025,Round 2,CS,802,336,OBC,"Iit Kanpur CSE TA, Iit kharagpur CSE TA, Iit Roorkee CSE TA, Iit Guwahati CSE TA, Iit Hyderabad CSE TA"
2025,Round 2,CS,802,336,OBC,"IIT Kharagpur CSE TA, IIT Kanpur CSE TA, IIT Guwahati CSE TA"
2025,Round 2,CS,800,342,EWS,"IIT GUWAHATI CSE, IIT KANPUR CSE, IIT KGP CSE"
2025,Round 2,CS,797,351,OBC,"IIT Kharagpur CSE, IIT Kanpur CSE, IIT Guwahati CSE"
2025,Round 2,CS,797,351,EWS,"Iit k CSE TA, Iit kgp cse ta, Iit g cse"
2025,Round 2,CS,793,387,OBC,IIT GUWAHATI CS
2025,Round 2,CS,789,400,GEN,IIT Gn
2025,Round 2,CS,781,435,OBC,"IIT Delhi cyber, IIT Roorkee AI, IIT KGP AI"
2025,Round 2,CS,780,444,OBC,IIT Delhi Cyber security
2025,Round 2,CS,761,741,OBC,IIT Gandhinagar AI TA
2025,Round 2,CS,761,574,EWS,"iit h nis, iit indore cse"
2025,Round 2,CS,756,622,OBC,IIT BHU Mtech CSE (IOT)
2025,Round 2,CS,756,622,OBC,"IIT dhanbad, gandhinagar, mandi, IIT gandhinagar, bhu"
2025,Round 2,CS,756,622,EWS,"IIT kanpur AI ( retained from round 1), IIT roorkee ( Mnc)"
2025,Round 2,CS,747,692,GEN,"IIT Mandi CSE TA, IIT Dhanbad AI&DS, IIT bhubaneswar CSE TA"
2025,Round 2,CS,744,724,OBC,"IITkgp Q&R engg (retained from round 1), No offers in round 2"
2025,Round 2,CS,727,911,GEN,"IIT Goa CSE, IIT Bhubaneswar CSE, IIT Jammu CSE, IIT Tirupati CSE"
2025,Round 2,CS,727,932,EWS,"IIT Mandi , IIT Patna"
2025,Round 2,CS,722,983,OBC,"Ism dhanbad ai , Ism dhanbad cse, IIT Gandhinagar AI"
2025,Round 2,CS,718,1061,EWS,"IIT Bbs CSE TA, IIT Jammu (retained )"
2025,Round 2,CS,702,1252,GEN,IIT Patna MnC
2025,Round 2,CS,690,1015,OBC,IIT Delhi CSE HVA
2025,Round 2,CS,668,1726,SC,IIT Indore TA
2025,Round 2,CS,658,1916,OBC,IIT Dharwad cse TA
2025,Round 2,CS,655,1992,OBC,IIT Dharwad CSE
2025,Round 2,CS,648,2098,EWS,IT Patna - Mathematics and Computing
2025,Round 2,CS,639,2284,OBC,IIT Bhilai DSAI TA
2025,Round 2,CS,632,2434,OBC,IIT Patna MnC
2025,Round 2,CS,579,3808,SC,"IISc CDS (retained from last round), IIR Ropar CSE, IIT Roorkee Applied Mathematics and Scientific Computing"
2025,Round 2,CS,579,3808,GEN,IITD M.Tech Telecommunication Technology Management (HVA)
2025,Round 2,CS,575,3917,SC,Noll
2025,Round 2,CS,572,3967,SC,"IIT KANPUR ( AI for sustainability), IIT Patna CSE"
2025,Round 2,CS,555,4575,GEN,"IIT Bbs , climate science and technology , Nill, Nill"
2025,Round 2,CS,529,5620,ST,"IIT BHUNESHWAR CSE, IISC BANGLORE CSE, IIT DELHI MINDS, IIT DELHI COMPUTER TECHNOLOGY"
2025,Round 2,CS,496,7171,ST,IIT Roorkee Applied Mathematics and Scientific Computing
2025,Round 2,DA,741,176,GEN,IIT patna
2025,Round 2,DA,706,251,EWS,"Iit patna ai, Iit bhubaneswar ai, Iit delhi telecommunication"
2025,Round 2,DA,706,251,EWS,"IIT Bhubaneswar AI, IIT Tirupathi CSE"
2025,Round 2,DA,702,261,OBC,"IIT Kanpur SPCOM, ISM Dhanbad AI"
2025,Round 2,DA,690,293,OBC,IIT Jodhpur Robotics & Mobility systems
2025,Round 2,DA,675,340,OBC,"IIT BHILAI DSAI, IIT TIRUPATI DSAI"
2025,Round 2,DA,659,398,GEN,IIT pallakad Mtech in Data science
2025,Round 2,DA,573,986,SC,IIT Bombay IEOR TA
2025,Round 2,DA,556,915,GEN,"No offer, No offer"
2025,Round 3,CS,893,83,GEN,IIT BOMBAY CSE TA
2025,Round 3,CS,885,91,GEN,IIT Kanpur CSE TA
2025,Round 3,CS,881,95,GEN,IIT Hyd (retained from round 1)
2025,Round 3,CS,868,119,GEN,IIT KANPUR(retained from r2)
2025,Round 3,CS,856,151,GEN,"IIT Hyderabad AI TA (Retained from R2), IIT Kanpur CSE TA"
2025,Round 3,CS,853,154,GEN,"IIT Kanpur CSE TA, IIT Hyderabad CSE TA"
2025,Round 3,CS,847,173,GEN,"IIT Hyd CSE TA, IIT Hyd AI TA, IIT Kgp AI TA"
2025,Round 3,CS,843,189,GEN,"IIT KGP CSE (From Round 2), IIT HYD CSE"
2025,Round 3,CS,843,182,GEN,"IIT K AI, IIT Roorkee CSE"
2025,Round 3,CS,837,204,GEN,"IITH MTECH CSE, IITKGP MTECH CSE"
2025,Round 3,CS,831,221,GEN,"IIT Guwahati CSE (retained from R2), IIT Guwahati DS, IIT Roorkee DS, IIT Kharagpur CSE"
2025,Round 3,CS,826,249,GEN,"IITKGP cse, IITG cse, IITD computer technology , IIT Roorkee mathematics and scientific computing (retained from r2)"
2025,Round 3,CS,826,249,GEN,"IIT Guwahati CSE TA, IIT BHU AI TA (Retained from round 2), IIT Kharagpur CSE TA"
2025,Round 3,CS,807,317,OBC,"IITK CSE TA (retained from r2), IITD CSE TA"
2025,Round 3,CS,807,317,OBC,"IIT K CSE TA (retained from R2), IIT D CSE TA"
2025,Round 3,CS,802,336,OBC,"IIT delhi CSE, IIT kanpur CSE (retained from 2)"
2025,Round 3,CS,800,342,EWS,"IIT HYD CSE, IIT K CSE (retained from round 2)"
2025,Round 3,CS,800,342,GEN,IIT Guwahati Robotics and AI
2025,Round 3,CS,797,351,OBC,"IIT Kanpur CSE (Retained from round 2), IIT Hyderabad CSE"
2025,Round 3,CS,797,351,EWS,iit k(retained from R2)
2025,Round 3,CS,794,306,GEN,IIT Guwahati Robotics & AI
2025,Round 3,CS,793,387,OBC,"IIT GUWAHATI CS (retained in R2), IIT KANPUR CS"
2025,Round 3,CS,790,394,EWS,"IIT KGP, IIT Guwahati"
2025,Round 3,CS,781,435,OBC,"IIT G cse, IIT Kgp cse, IIT R data science, IIT D cyber security"
2025,Round 3,CS,780,444,OBC,"IIT Guwahati cse, IIT Kharagpur cse, IIT Delhi Cyber security ( retained from round 2)"
2025,Round 3,CS,777,460,EWS,IIT Guwahati CSE TA
2025,Round 3,CS,769,411,OBC,"IIT Guwahati data science , IIT roorkee cse Ta, IIT Kharagpur cse Ta"
2025,Round 3,CS,756,622,EWS,IIT Gandhinagar AI
2025,Round 3,CS,756,622,OBC,"IIT Kharagpur AI , IIT bhu AI"
2025,Round 3,CS,756,622,EWS,IIT kanpur AI( retained from first round)
2025,Round 3,CS,744,724,OBC,"IIT BHU iot , IIT Indore CS , IIT Roorkee MNC"
2025,Round 3,CS,744,724,OBC,"IITKGP Q&R engineering retained from round 2, No offers in round 3 also 🥲"
2025,Round 3,CS,743,747,OBC,"IITGn CS, IITG (Robotics and AI)"
2025,Round 3,CS,741,761,OBC,IIT Gandhinagar M.Tech AI
2025,Round 3,CS,727,932,EWS,patna (retained from round 2)
2025,Round 3,CS,727,911,GEN,IIT Jammu CSE
2025,Round 3,CS,718,1061,GEN,IIT Bhubaneswar AI
2025,Round 3,CS,718,1033,EWS,IIT Mandi Mtech CSE
2025,Round 3,CS,718,1061,EWS,IIT JMU (retained from round 2)
2025,Round 3,CS,702,1252,GEN,IIT Tirupati MTech AIDS
2025,Round 3,CS,701,70,GEN,"IIT B CSE TA(Retained from R2), IIT M CS HTTA, IIT D CS TA"
2025,Round 3,CS,691,1396,OBC,Iit (ISM) Dhanbad AI&DS
2025,Round 3,CS,690,1015,OBC,IITD CSE HVA
2025,Round 3,CS,689,1414,OBC,IIT Dhanbad DS AI
2025,Round 3,CS,668,1726,SC,"IIT Indore TA , IIT Hyderabad TA, IIT kgp TA, IIT Guwahati TA"
2025,Round 3,CS,664,1814,OBC,"IIT Kanpur Robotics, retained IITK robotics"
2025,Round 3,CS,656,1951,GEN,IIT BHILAI DSAI
2025,Round 3,CS,655,1992,OBC,"IIT Dharwad CSE, IIT Tirupati CS"
2025,Round 3,CS,639,2284,OBC,"IIT Bhilai DSAI TA, IIT Bhilai DSAI TA"
2025,Round 3,CS,638,2313,EWS,no offer
2025,Round 3,CS,632,2434,OBC,Patna MnC
2025,Round 3,CS,628,2498,GEN,IIT Jodhpur Quantum Tech
2025,Round 3,CS,579,3808,ST,IISc CDS(retaining since r1)
2025,Round 3,CS,575,3917,SC,"IITR APPLIED MATHEMATICS , IITKGP QUALITY REABILTY ENGINEERING L"
2025,Round 3,CS,572,3967,SC,Retained IIT Patna CSE twice
2025,Round 3,CS,510,6450,SC,Iit patna ai
2025,Round 3,CS,467,38.3,ST,IIT DELHI CTECH
2025,Round 3,DA,741,176,GEN,"Nil , IIT patna, IIT patna"
2025,Round 3,DA,702,261,OBC,"IIT K SPCOM ISM Dhanbad AI, IIT K SPCOM"
2025,Round 3,DA,690,293,OBC,IIT Patna AI
2025,Round 3,DA,675,340,OBC,"IIT Bhilai DSAI, IIT TIRUPATI DSAI"
2025,Round 3,DA,659,398,GEN,IIT pallakad Data science TA
2025,Round 3,DA,573,986,SC,IIT Bombay IEOR TA (Retained from R1)
2025,Round 4,CS,931,29,GEN,IIT Madras
2025,Round 4,CS,901,70,GEN,IIT MADRAS MTECH TA (Retained from r3)
2025,Round 4,CS,893,83,GEN,"IIT MADRAS CSE HTTA, IIT BOMBAY CSE TA"
2025,Round 4,CS,885,91,GEN,"IIT Bombay CSE TA, IIT Delhi CSE TA"
2025,Round 4,CS,881,95,GEN,IIT Delhi
2025,Round 4,CS,868,119,GEN,IIT kanpur (retained from round 2)
2025,Round 4,CS,856,151,GEN,IIT Kanpur CSE TA (Retained from R3)
2025,Round 4,CS,853,154,GEN,IIT Kanpur M.Tech CSE (Retained From R3)
2025,Round 4,CS,847,173,GEN,"IIT kanpur CSE TA , IIT Hyderabad AI TA"
2025,Round 4,CS,843,189,GEN,"IIT KGP(Retained from Round 2), IIT Kanpur"
2025,Round 4,CS,843,182,GEN,"IIT K, IIT Roorke"
2025,Round 4,CS,837,204,GEN,IITH CSE TA
2025,Round 4,CS,833,215,GEN,"IIT Delhi Robotics , IIT Roorkee CSE"
2025,Round 4,CS,831,221,GEN,"IIT Kharagpur CSE (retained from R3), IIT Roorkee AI, IIT Hyderabad CSE"
2025,Round 4,CS,826,249,GEN,"IIT kgp cs , IIT Roorkee ai"
2025,Round 4,CS,826,249,GEN,"IIT Kharagpur CSE TA (Retained from round 3), IIT BHU IOT"
2025,Round 4,CS,813,298,GEN,IIT GUWAHATI CSE
2025,Round 4,CS,810,308,GEN,IIT Guwhati CSE TA
2025,Round 4,CS,807,317,OBC,"IIT Madras CSE TA, IIT DELHI CSE TA"
2025,Round 4,CS,807,317,OBC,"IITM CSE, IITK CSE (retained from r2)"
2025,Round 4,CS,804,333,GEN,IIT Hyd NIS
2025,Round 4,CS,802,336,OBC,"IIT Delhi Mtech CSE ( retained from R3), IIT Madras Mtech CSE HTTA"
2025,Round 4,CS,800,342,EWS,IIT KANPUR CSE (retained from round 2)
2025,Round 4,CS,800,342,GEN,"IIT Guwahati Robotics and AI(retained from r3), IIT Bombay MS RAP"
2025,Round 4,CS,797,351,GEN,IIT Delhi Cyber Security
2025,Round 4,CS,794,306,GEN,"IIT Guwahati Robotics and AI (Retained), IIT Roorkee Data Science, IIT Bombay CSE - MS TA (Intelligent systems)"
2025,Round 4,CS,793,387,OBC,"IIT KANPUR CS (retained in R3), IIT HYDERABAD CS"
2025,Round 4,CS,784,424,GEN,IIT HYDERABAD NIS
2025,Round 4,CS,784,424,GEN,"IIT Bombay MTech RA, IIT Hyd NIS TA"
2025,Round 4,CS,781,435,OBC,IIT KANPUR CSE IIT ROORKEE CSE IIT KGP CSE (retained R3)
2025,Round 4,CS,780,444,OBC,IIT Kanpur CSE
2025,Round 4,CS,777,460,EWS,"IIT Guwahati Data Science (retained from Round 3), IIT Guwahati Computer Science"
2025,Round 4,CS,777,460,GEN,IIT GUWAHATI (MTECH IN ROBOTICS AND AI)
2025,Round 4,CS,777,460,GEN,IIT BHU CSE-IOT
2025,Round 4,CS,772,486,EWS,"IIT KGP CSE, IIT BHU AI"
2025,Round 4,CS,769,411,OBC,"IIT GUWAHATI , IIIT KHARAGPUR (RETAINED FROM 3)"
2025,Round 4,CS,764,561,EWS,"IIT Guwahati Data Science TA, IIT Guwahati Robotics and AI , IIT Kharagpur AI"
2025,Round 4,CS,760,589,OBC,"IIT kgp cse, IIT Guwahati cse"
2025,Round 4,CS,757,609,EWS,IIT Hyderabad NIS TA
2025,Round 4,CS,756,622,OBC,"IIT bhu iot, IIT kgp cse"
2025,Round 4,CS,756,622,OBC,IIT Kharagpur Mtech CSE
2025,Round 4,CS,747,692,GEN,IIT Dhanbad CSE
2025,Round 4,CS,744,724,OBC,"IIT Delhi Cyber Security , IIT Kgp Ai , IIT Indore CS"
2025,Round 4,CS,744,724,OBC,"IIT KGP AI, IIT BHU - IOT"
2025,Round 4,CS,741,761,OBC,IIT Indore Mtech CSE TA
2025,Round 4,CS,741,761,OBC,"IIT Gandhinagar M.Tech AI, IIT Bombay MS CSE TA"
2025,Round 4,CS,739,783,OBC,"IIT Bombay CSE Mtech RA, IIT Bombay CSE MS TA"
2025,Round 4,CS,718,1061,EWS,"IIT Ropar AI, IIT Ropar CSE"
2025,Round 4,CS,718,1033,OBC,IIT Bombay ms by research CSE TA
2025,Round 4,CS,718,1033,EWS,"IIT PATNA CS , IIT Jodhpur DCS"
2025,Round 4,CS,718,1061,GEN,IIT bhubaneswar AI
2025,Round 4,CS,718,1061,GEN,"IIT bbs AI, IIT B MS RA"
2025,Round 4,CS,711,1121,OBC,"IIT Gandhinagar - AI , IIT Gandhinagar - AI (retained from R3)"
2025,Round 4,CS,706,1197,OBC,IIT PATNA CSE
2025,Round 4,CS,691,1396,OBC,Iit (ism) Dhanbad DSAI
2025,Round 4,CS,689,1414,OBC,"IIT Dhanbad DSAI(From Round 3), IIT Patna AI"
2025,Round 4,CS,678,1572,GEN,IIT Indore MS(Research) CSE
2025,Round 4,CS,668,1726,SC,IIT Hyderabad TA
2025,Round 4,CS,664,1814,EWS,IIT Bombay CSE MS RAP
2025,Round 4,CS,658,1916,EWS,IIT Jammu Mtech CSE
2025,Round 4,CS,658,1916,OBC,"IIT Dharwad , IIT Dharwad , IIT Dharwad"
2025,Round 4,CS,656,1951,GEN,IIT BHILAI Data science and Artificial intelligence
2025,Round 4,CS,655,1992,OBC,"IIT Dharwad CSE, IIT Tirupati , IIT Tirupati"
2025,Round 4,CS,651,2063,EWS,IIT Dharwad CSE TA
2025,Round 4,CS,648,2098,EWS,IIT Patna Mnc
2025,Round 4,CS,647,2140,GEN,IIT Jammu Cse
2025,Round 4,CS,639,2284,OBC,"IIT Bhilai DSAI TA , IIT Dharwad CSE TA"
2025,Round 4,CS,638,2313,EWS,IIT PATNA M&C
2025,Round 4,CS,635,2353,OBC,IIT Dharwad
2025,Round 4,CS,635,2398,GEN,IIT Patna MNC
2025,Round 4,CS,628,2498,GEN,IIT Jodhpur Quantum Tech (Retained from R3)
2025,Round 4,CS,572,3967,SC,IIT P CSE
2025,Round 4,CS,572,3967,SC,IIT Patna CSE
2025,Round 4,CS,510,6450,SC,Iit patna ai
2025,Round 4,CS,493,7286,SC,iit jammu cse
2025,Round 4,CS,493,7400,EWS,IIT Hyderabad MTech Techno Enterpreneurship
2025,Round 4,CS,485,6226,SC,IIT Palakkad Computing and mathematics
2025,Round 4,CS,478,8210,ST,"IIT ROORKEE AMS, IIT B EE5, IIT madras Biomedical"
2025,Round 4,CS,467,7199,ST,"iit delhi ctech, iit delhi ctech"
2025,Round 4,DA,815,76,GEN,IIT Kharagpur AI
2025,Round 4,DA,741,176,GEN,"IIT patna mtech ai, IIT Patna mtech ai, IIT patna mtech ai"
2025,Round 4,DA,706,251,EWS,Iit BBS retained from round 2
2025,Round 4,DA,675,340,OBC,IIT tirupati dsai
2025,Round 4,DA,659,398,GEN,IIT Indore MS CSE TA
2025,Round 4,DA,635,512,GEN,IIT Bombay MSR Health Informatics RA
2025,Round 4,DA,573,986,SC,"IIT Jodhpur AI, IIT KGP Quality and Reliability Engineering"
2025,Round 5,CS,931,29,GEN,IIT MADRAS
2025,Round 5,CS,901,70,GEN,IIT Madras CSE HTTA(retained from r4)
2025,Round 5,CS,885,91,GEN,IIT Bombay CSE TA
2025,Round 5,CS,881,95,GEN,"IIT Bombay , IIT Delhi (retained from R4)"
2025,Round 5,CS,856,151,GEN,IIT Kanpur CSE TA (Retained from R3)
2025,Round 5,CS,847,173,GEN,IIT kanpur CSE TA
2025,Round 5,CS,843,189,GEN,IITK CSE TA(from Round 4)
2025,Round 5,CS,835,209,GEN,Iit hyd cse
2025,Round 5,CS,831,221,GEN,"IIT Kharagpur CSE , IIT Roorkee CSE"
2025,Round 5,CS,826,249,GEN,IITKGP cse
2025,Round 5,CS,826,249,GEN,"IIT KGP CSE TA (Retained from Round 4) , IIT Hyderabad CSE TA"
2025,Round 5,CS,813,298,GEN,IIT GUWAHATI CSE TA(RETAINED FROM ROUND 4)
2025,Round 5,CS,810,308,GEN,"IIT Bombay CSE RA, IIT KGP CSE TA, IIT Guwhati CSE TA"
2025,Round 5,CS,807,317,OBC,IITM CSE
2025,Round 5,CS,804,333,GEN,"IIT G MTech CSE , IIT H NIS (from R4)"
2025,Round 5,CS,802,336,GEN,Iit Guwahati cs
2025,Round 5,CS,802,336,OBC,"IIT Madras Mtech CSE HTTA , IIT Delhi Mtech Minds"
2025,Round 5,CS,800,342,GEN,IITG CSE
2025,Round 5,CS,793,387,OBC,"IIT KANPUR CS, IIT DELHI CS"
